cardID,adm_eng,cd_type,region,capital,tl_towns,popl,popl_dns,eth_tl
5,Estland,province,Baltic provinces,Revel',4," 310,400 ",38,4
6,Lifland,province,Baltic provinces,Riga,5," 814,100 ",45,7
7,Kurland,province,Baltic provinces,Mitava,6," 553,300 ",52,4
17,Vitebsk,province,Belorussian provinces,Vitebsk,12," 789,500 ",46,6
27,Smolensk,province,Belorussian provinces,Smolensk,12," 1,170,600 ",61,1
28,Mogilev,province,Belorussian provinces,Mogilev,11," 931,300 ",49,6
34,Kursk,province,Central (black earth) provinces,Kursk,12," 1,680,000 ",96,3
41,Voronezh,province,Central (black earth) provinces,Voronezh,12," 1,657,900 ",64,5
59,Tambov,province,Central (black earth) provinces,Tambov,12," 1,750,900 ",68,3
61,Penza,province,Central (black earth) provinces,Penza,10," 1,087,200 ",74,3
43,Stavropol,province,Caucasus,Stavropol',3," 402,300 ",14,8
75,Caucasus,region,Caucasus,Tiflis,5," 3,000,000 ",0,13
76,Tiflis,province,Caucasus,Tbilisi,5, -   ,0,3
77,Kutaisi,province,Caucasus,Kutaisi,5, -   ,0,3
78,Yerivan,province,Caucasus,Erevan,5," 12,310 ",0,3
79,Shemakha,province,Caucasus,Shemakha,5," 460,000 ",447,4
80,Derbent,province,Caucasus,Derbent,2," 116,500 ",432,2
8,Grand Duchy of Finland,region,Grand Duchy of Finland,Vyborg,8," 1,411,952 ",10,5
9,Vyborg,province,Grand Duchy of Finland,Vyborg,5," 249,217 ",15,3
10,Nyuland,province,Grand Duchy of Finland,Gelsingfors,4," 138,106 ",27,3
11,Abosko-Berneborg,province,Grand Duchy of Finland,Abo,6," 251,011 ",37,3
12,Vaza,province,Grand Duchy of Finland,Vaza,6," 202,710 ",13,3
13,Uleaborg,province,Grand Duchy of Finland,Uleaborg,4," 125,114 ",2,4
14,Kuopio,province,Grand Duchy of Finland,Kuopio,11," 168,351 ",10,4
15,Saint Mikhel',province,Grand Duchy of Finland,Sankt Mikhel,3," 133,537 ",14,3
16,Tavastgus,province,Grand Duchy of Finland,Tavastgus,1," 143,906 ",20,4
54,Orlov,province,Great Russian provinces,Orlov,12," 1,502,900 ",82,1
55,Kaluga,province,Great Russian provinces,Kaluga,11," 1,006,400 ",82,1
56,Tula,province,Great Russian provinces,Tula,12," 1,227,000 ",104,1
