cardID,river,riverID
6,Aa,1
7,Aa (western),2
42,Aksaya,3
76,Alazan,4
70,Angara,5
78,Araks,6
72,Argun,7
78,Bazarchaj,8
20,Bela,9
64,Belaya,10
38,Berdianka,11
29,Berezina,12
68,Biya,13
29,Bobrujka,14
7,Bolder,15
10,Borgo,16
35,Byk,18
26,Bystritsa,19
62,Cheptsy,20
63,Chusova,21
35,Danube,22
27,Desna,23
33,Desna,23
27,Dnieper,24
35,Dnestr,25
36,Dnestr,25
37,Dnestr,25
28,Dnieper,24
31,Dnieper,24
32,Dnieper,24
37,Dnieper,24
38,Dnieper,24
39,Dnieper,24
39,Don,26
41,Don,26
42,Don,26
56,Don,26
59,Don,26
40,Donel,27
6,Dvina (western),134
17,Dvina (western),134
80,Giul-Keri,28
30,Goryn,29
72,Ingoda,30
37,Ingula,31
70,Irkuta,33
67,Irtysh,34
62,Izha,35
69,Kacha,36
43,Kalaus,37
49,Kama,38
63,Kama,38
30,Kamenka,39
69,Kana,40
50,Karsuna,41
49,Kazanka,42
13,Kemi,43
40,Kharkov,44
60,Klyazma,45
31,Konevka,46
33,Konotopa,47
47,Kostroma,48
46,Kotorost,49
44,Kuban,50
16,Kuma,51
11,Kumo,52
76,Kur,53
79,Kur,53
11,Kyumen,54
71,Lena,55
40,Lopani,56
1,Lososinka,57
17,Luchessa,58
4,Luga,59
55,Luzha,60
51,Medveditsa,61
59,Moksha,62
61,Moksha,62
57,Moskva,63
2,Msta,64
55,Nara,65
1,Neglinka,66
18,Neman,67
20,Neman,67
22,Neman,67
72,Nercha,68
60,Nerla,69
40,Netech,70
4,Neva,71
54,Nugra,72
48,Oka,73
54,Oka,73
55,Oka,73
56,Oka,73
58,Oka,73
59,Oka,73
60,Oka,73
71,Okhota,74
54,Orlika,75
13,Ounasioki,76
77,Patskhovka,77
61,Penza,78
25,Pilitsa,79
14,Pislis,80
30,Pripiata,81
55,Protva,8
35,Prut,83
3,Pskova,84
77,Rioni,85
38,Salgira,86
52,Samara,87
80,Samur,88
34,Sejm,89
66,Severnaya Dvina,90
46,Sheksna,91
30,Slucha,92
36,Smotrich,93
28,Sozha,94
33,Stryzhena,95
65,Sukhona,96
20,Supriasl,97
50,Sura,98
61,Sura,98
29,Svislocha,99
43,Tashla,100
79,Terter,101
30,Tetereva,102
31,Tetereva,102
2,Tikhvina,103
67,Tobol,104
68,Tom,105
32,Trubezha,106
58,Trubezha,106
29,Tskha,107
59,Tsna,108
42,Tsymlya,109
44,Tuman,110
34,Tuskora,111
45,Tvertsa,112
64,Ufa,113
13,Uleo,114
47,Unzha,115
56,Upa,116
25,Varta,117
26,Veirzha,118
3,Velikaya,119
47,Vetluga,120
17,Vidba,121
19,Vilejka,122
18,Viliya,123
19,Viliya,123
7,Vindava,124
23,Visla,125
24,Visla,125
24,Visla,125
25,Visla,125
26,Visla,125
45,Volga,126
46,Volga,126
47,Volga,126
48,Volga,126
49,Volga,126
50,Volga,126
51,Volga,126
52,Volga,126
53,Volga,126
2,Volkhov,127
65,Vologda,128
59,Vorona,129
41,Voronezha,130
59,Voronezha,130
32,Vorskla,131
9,Vuoksa,132
49,Vyatka,133
62,Vyatka,133
55,Yachenka,135
57,Yauza,136
69,Yenisej,137
76,Yora,32
78,Zanga,138
