featID,cardID,feature,ft_text,ft_type
1,1,forest,bountiful forest,graphic
2,1,garden,Garden established by Peter I. ,graphic
3,1,lakes,none,graphic
4,1,mineral springs,Tsar Peter I established the Koncheozerskiya Martsial'nyia waters in 1714 and the Koncheozerskii cast iron factory in 1707.,text
5,1,mountains,Olonetskie mountains,graphic
6,2,forest,extensive forests,graphic
7,2,lakes,"roughly 3,220 lakes",graphic
8,2,lakes,"The province has 3,220 lakes.",text
9,2,mountains,Valdaj mountains,graphic
10,2,town,Novgorod is one of the most ancient cities of Russia. ,text
11,2,wharf or pier,The pier on the Msta River.,text
12,3,fortress,"Izborsk fortress, built in the thirteenth century",text
13,3,town,The town of Pskov was founded by Princess (and Saint) Olga. ,text
14,4,forest,bountiful forest,graphic
15,4,fortress,Alexandrovskaya citadel,text
16,4,fortress,The Petropavlovsk and Kronshtadt fortresses.,text
17,4,swamps,none,graphic
18,4,town,Petersburg was founded by Peter the Great in 1703 on the island of Enisar.,text
19,5,castle,"Yekaterinental' (Ekaterinenthal) castle with gardens, established by Peter I.",text
20,5,fortress,none,text
21,5,mud baths,none,graphic
22,5,port,military-commercial port,text
23,6,forest,bountiful forest,graphic
24,6,fortress,none,text
25,6,lakes,"more than 1,000 lakes",graphic
26,6,mountains,Mt. Ejerberg,graphic
27,6,port,none,text
28,6,town,Riga was founded in the year 1200.,text
29,7,forest,bountiful forest,graphic
30,7,swamps,none,graphic
31,7,town,Mitava was established in 1561.,text
32,7,town,The small town of Polangen with its border customs.,text
33,9,fortress,an old fortress,text
34,9,islands,none,graphic
35,9,lighthouses,none,graphic
36,9,port,a well-fortified port,text
37,9,port,Fridrikhsgamskaya port,text
38,10,factory,artificial mineral water,graphic
39,10,forest,bountiful forest,graphic
40,10,fortress,the first-class fortress at Sveaborg,text
41,10,fortress,the second-class fortress Svartgol'm [Svartkhol'm],text
42,10,garden,botanical garden,graphic
43,10,harbor,none,graphic
44,10,wharf or pier,ship wharf,graphic
45,11,fortress,ancient fort,graphic
46,11,fortress,first-class fortress on the island of Aland,text
47,11,harbor,Nishtadtskaya [Nystad] harbor,text
48,11,islands,none,graphic
49,11,lakes,numerous lakes,graphic
50,11,port,B'erneborg port,text
51,11,wharf or pier,ship wharf,graphic
52,12,factory,production of clocks and chronometers,graphic
53,12,gulf,Gulf of Bothnia,text
54,13,harbor,none,graphic
55,13,town,From the heights near Torneo the sun is visible for several days in succession on the horizon.,text
56,14,canal,Varkousskii Canal,graphic
57,15,mountains,none,graphic
58,17,fortress,Dinaburgskaya fortress,text
59,17,town,Vitebsk is one of the most ancient cities in Russia.,text
60,18,customs,The main customs with Prussia is located on the Neman River.,text
61,18,forest,bountiful forest,graphic
62,18,historic site,"In 1812, Napoleon's army, numbering 250,000 men, crossed the Neman into Russia.",text
63,18,lakes,none,graphic
64,19,town,​​​​Vil'no is one of the most ancient cities in Russia.,text
65,20,fortress,the fortress of Brest-Litovsk,text
66,20,mineral springs,none,graphic
67,20,town,Grodno is among the most ancient of cities.,text
68,23,fairs,none,graphic
69,23,forest,bountiful forest,graphic
70,23,fortress,New Georgievsk fortress,text
71,24,forest,bountiful forest,graphic
72,24,town,Warsaw has existed for over 600 years.,text
73,25,forest,bountiful forest,graphic
74,26,fortress,the fortresses of Zamost'e and Ivan-Gorod,text
75,26,wharf or pier,Belevskaya pier,text
76,27,forest,bountiful forest,graphic
77,27,swamps,none,graphic
78,27,town,Smolensk was completed by Boris Godunov.,text
79,27,wharf or pier,piers at Gzhatsk and Porech'evsk,text
80,28,forest,bountiful forest,graphic
81,28,institute,Minerology and Farming Institute,graphic
82,29,forest,bountiful forest,graphic
83,29,fortress,Bobruiskaya fortress,text
84,29,swamps,none,graphic
85,30,customs,Four customs houses are located in the province.,text
86,30,forest,black forest,graphic
87,30,mountains,Avramynskii Ridge,graphic
88,30,swamps,none,graphic
89,31,forest,forests,graphic
90,31,fortress,Kiev fortress (first-class),text
91,31,mountains,Carpathian mountains,graphic
92,31,town,Kiev is one of the most ancient cities in Russia.,text
93,32,garden,botanical garden,graphic
94,32,garden,There is a medicinal garden in the city of Lubny.,text
95,32,town,Five versts from Poltava is located a Swedish grave where one thousand five hundred Russian soldiers are buried.,text
96,33,town,Chernigov is one of the most ancient cities of Russia.,text
97,34,fairs,none,graphic
98,34,town,Kursk was founded by the Grand Prince Vladimir in 990.,text
99,35,customs,Four customs houses,text
100,35,fortress,Two fortresses and an ancient citadel,text
101,35,mountains,part of the Carpathians,graphic
102,36,mountains,Carpathian mountains,graphic
103,36,town,Kamenets-Podolsk was built in the fourteenth century.,text
104,37,admiralty,none,text
105,37,fortress,none,text
106,37,harbor,none,text
107,37,mountains,Carpathian mountains,graphic
108,37,port,military port,text
109,37,shipyards,none,text
110,37,town,Kherson was founded by Empress Catherine II in 1778.,text
111,38,fortress,Sevastopol' fortress,text
112,38,harbor,none,text
113,38,mountains,Crimean mountains,graphic
114,38,mud baths,curative mud baths at Saky,graphic
115,38,port,none,text
116,38,salt lakes,none,graphic
117,38,town,Kerch-Yenikale gradonachal'stvo (city),text
118,39,fortress,Taganrog fortress was founded by Peter the Great.,text
119,39,town,Alexander the Blessed [Alexander I] died in Taganrog in 1825.,text
120,40,fairs,significant fairs,graphic
121,40,steppe,none,graphic
122,40,town,Kharkov was founded by Cossacks in 1650.,text
123,41,town,The founding of Voronezh is mentioned in chronicles in the beginning of the twelfth century.,text
124,42,salt lakes,none,graphic
125,42,wharf or pier,Pier in Kachalinskii camp.,text
126,43,fortress,Kizlyar fortress,text
127,43,garden,mulberry trees,graphic
128,43,mineral springs,none,graphic
129,43,mountains,Mt. Beshtaj,graphic
130,43,salt lakes,none,graphic
131,44,forest,bountiful forest,graphic
132,44,fortress,chain of posts and fortifications on the Kuba River,text
133,44,region,The Black Sea region is divided into 3 districts [okrugs].,text
134,44,salt lakes,none,graphic
135,44,swamps,none,graphic
136,45,forest,bountiful forest,graphic
137,45,lakes,none,graphic
138,45,mountains,Ravenitskie mountains,graphic
139,45,swamps,none,graphic
140,45,town,Tver was built at the beginning of the twelfth century.,text
141,45,wharf or pier,"the Rzhev, Zubtsov, and Tvorskaya piers ",text
142,46,fairs,none,graphic
143,46,town,Yaroslavl' was founded by the Grand Prince Yaroslav I.,text
144,46,wharf or pier,Rybinskaya and Yaroslavskaya piers,text
145,47,town,Kostroma was founded in the twelfth century by the Grand Prince Yurii Dolgorukov.,text
146,47,wharf or pier,Kostroma and Kinishma piers ,text
147,48,fairs,none,graphic
148,48,town,Nizhnii Novgorod was founded by Georgii II Vsevolodovich in 1222.,text
