twnID,twn_eng,twn_rus,cardID,seq,twn_type,gazID,loc_src,type_gare,twn_geon,geon_url,geon_crdn,geon_lat,geon_long
1,Petrozavodsk,Петрозаводск,1,1.00,provincial town,4940,GARE,provincial town,Petrozavodsk,https://www.geonames.org/509820/petrozavodsk.html,"61.78491, 34.34691",61.78491,34.34691
2,Olonets,Олонец,1,2.00,district town,5004,GARE,district town,Olonets,https://www.geonames.org/515403/olonets.html,"60.98475, 32.96976",60.98475,32.96976
3,Ladejnoe Pole,Ладейное Поле,1,3.00,district town,4977,GARE,district town,Lodeynoye Pole,https://www.geonames.org/534560/lodeynoye-pole.html,"60.726, 33.55306",60.72600,33.55306
4,Vytegra,Вытегра,1,4.00,district town,4909,GARE,district town,Vytegra,https://www.geonames.org/469960/vytegra.html,"61.00636, 36.44811",61.00636,36.44811
5,Kargopol,Каргополь,1,5.00,district town,4855,GARE,district town,Kargopol,https://www.geonames.org/552465/kargopol.html,"61.50359, 38.9486",61.50359,38.94860
6,Pudozh,Пудож,1,6.00,district town,4889,GARE,district town,Pudozh,https://www.geonames.org/504269/pudozh.html,"61.80415, 36.5277",61.80415,36.52770
7,Povenets,Повенец,1,7.00,district town,5017,GARE,district town,Povenets,https://www.geonames.org/505820/povenets.html,"62.8487, 34.82621",62.84870,34.82621
8,Novgorod,Новгород,2,1.00,provincial town,6391,GARE,provincial town,Novgorod,https://www.geonames.org/519336/velikiy-novgorod.html,"58.52131, 31.27104",58.52131,31.27104
9,Staraia Russa,Старая Русса,2,2.00,district town,6354,GARE,district town,Staraia Russa,https://www.geonames.org/489088/staraya-russa.html,"57.99439, 31.36081",57.99439,31.36081
10,Kresttsy,Крестцы,2,3.00,district town,6429,GARE,district town,Kresttsy,https://www.geonames.org/541116/kresttsy.html,"58.2452, 32.51647",58.24520,32.51647
11,Borovichi,Боровичи,2,4.00,district town,6458,GARE,district town,Borovichi,https://www.geonames.org/572154/borovichi.html,"58.38778, 33.91546",58.38778,33.91546
12,Cherepovets,Череповец,2,5.00,district town,6559,GARE,district town,Cherepovets,https://www.geonames.org/569223/cherepovets.html,"59.13333, 37.9",59.13333,37.90000
13,Valdaj,Валдай,2,6.00,district town,6381,GARE,district town,Valdai,https://www.geonames.org/477301/valday.html,"57.97826, 33.24737",57.97826,33.24737
14,Kirilov,Кирилов,2,7.00,district town,6581,GARE,district town,Kirillov,https://www.geonames.org/548478/kirillov.html,"59.86299, 38.38128",59.86299,38.38128
15,Tikhvin,Тихвин,2,8.00,district town,6496,GARE,district town,Tikhvin,https://www.geonames.org/483019/tikhvin.html,"59.64511, 33.52937",59.64511,33.52937
16,Ustiuzhna,Устюжна,2,9.00,district town,6534,GARE,district town,Ustiuzhna,https://www.geonames.org/477795/ustyuzhna.html,"58.8394, 36.4321",58.83940,36.43210
17,Belozersk,Белозерск,2,10.00,district town,6546,GARE,district town,Belozersk,https://www.geonames.org/577711/belozersk.html,"60.0288, 37.8084",60.02880,37.80840
18,Demyansk,Демянск,2,11.00,district town,6360,GARE,district town,Demiansk,https://www.geonames.org/566629/demyansk.html,"57.64301, 32.466",57.64301,32.46600
19,Pskov,Псков,3,1.00,provincial town,9986,GARE,provincial town,Pskov,https://www.geonames.org/504341/pskov.html,"57.8136, 28.3496",57.81360,28.34960
20,Ostrov,Остров,3,2.00,district town,10015,GARE,district town,Ostrov,https://www.geonames.org/514171/ostrov.html,"57.34395, 28.35368",57.34395,28.35368
21,Opochka,Опочка,3,3.00,district town,10121,GARE,district town,Opochka,https://www.geonames.org/515155/opochka.html,"56.71357, 28.66388",56.71357,28.66388
22,Novorzhev,Новоржев,3,4.00,district town,10129,GARE,district town,Novorzhev,https://www.geonames.org/518236/novorzhev.html,"57.02942, 29.33378",57.02942,29.33378
23,Porkhov,Порхов,3,5.00,district town,10028,GARE,district town,Porkhov,https://www.geonames.org/506278/porkhov.html,"57.76502, 29.55612",57.76502,29.55612
24,Kholm,Холм,3,6.00,district town,10158,GARE,district town,Kholm,https://www.geonames.org/549797/kholm.html,"57.14543, 31.1778",57.14543,31.17780
25,Toropets,Торопец,3,7.00,district town,10093,GARE,district town,Toropets,https://www.geonames.org/482042/toropets.html,"56.49779, 31.63528",56.49779,31.63528
26,Velikie Luki,Великие Луки,3,8.00,district town,10055,GARE,district town,Velikie Luki,https://www.geonames.org/476077/velikiye-luki.html,"56.34, 30.54517",56.34000,30.54517
27,Saint Petersburg,Санкт Петербург,4,1.00,provincial town,9780,GARE,provincial capital,Saint Petersburg,https://www.geonames.org/498817/saint-petersburg.html,"59.93863, 30.31413",59.93863,30.31413
28,Shlisselburg,Шлиссельбург,4,2.00,district town,13352,GARE,district town,Shlisselburg,https://www.geonames.org/493970/shlissel-burg.html,"59.9473, 31.03845",59.94730,31.03845
29,Novaya Ladoga,Нов. Ладога,4,3.00,district town,9832,GARE,district town,Novaya Ladoga,https://www.geonames.org/519630/novaya-ladoga.html,"60.10246, 32.30191",60.10246,32.30191
30,Tsarskoe Selo,Царское Село,4,4.00,district town,9802,GARE,district town,Tsarskoe Selo,https://www.geonames.org/504003/pushkin.html,"59.71417, 30.39642",59.71417,30.39642
31,Luga,Луга,4,5.00,district town,9691,GARE,district town,Luga,https://www.geonames.org/533690/luga.html,"58.73722, 29.84528",58.73722,29.84528
32,Oranienbaum,Ораниенбаум,4,6.00,district town,9758,GARE,district town,Oranienbaum,https://www.geonames.org/515113/stantsiya-oraniyenbaum.html,"59.91765, 29.7708",59.91765,29.77080
33,Yamburg,Ямбург,4,7.00,district town,9741,GARE,district town,Kingisepp,https://www.geonames.org/548602/kingisepp.html,"59.37331, 28.61343",59.37331,28.61343
34,Gdov,Гдов,4,8.00,district town,9658,GARE,district town,Gdov,https://www.geonames.org/561679/gdov.html,"58.74424, 27.81977",58.74424,27.81977
35,Revel,Ревель,5,1.00,provincial town,9882,GARE,provincial town,Tallinn,https://www.geonames.org/588409/tallinn.html,"59.43696, 24.75353",59.43696,24.75353
36,Vezenberg,Везенберг,5,2.00,district town,9958,GARE,district town,Rakvere,https://www.geonames.org/589165/rakvere.html,"59.34639, 26.35583",59.34639,26.35583
37,Gapsal,Гапсаль,5,3.00,district town,9863,GARE,district town,Haapsalu,https://www.geonames.org/592225/haapsalu.html,"58.94306, 23.54139",58.94306,23.54139
38,Veisenshtein,Вейсенштеин,5,4.00,district town,9924,GARE,district town,Paide,https://www.geonames.org/589709/paide.html,"58.88556, 25.55722",58.88556,25.55722
39,Riga,Рига,6,1.00,provincial town,6697,GARE,provincial town,Riga,https://www.geonames.org/456172/riga.html,"56.946, 24.10589",56.94600,24.10589
40,Arensburg,Аренсбург,6,2.00,district town,13027,GARE,district town,Kuressaare,https://www.geonames.org/590939/kuressaare.html,"58.24806, 22.50389",58.24806,22.50389
41,Derpt,Дерпт,6,3.00,district town,6690,GARE,district town,Tartu,https://www.geonames.org/588335/tartu.html,"58.38062, 26.72509",58.38062,26.72509
