File,Column Name,Human-readable,Data Source,Notes
all,cardID,playing card identification number,card (obverse),unique identifier for each card based on the numerals assigned to the original playing cards
all,adm_eng,"province or region name, in English",data enhancement,"simplified English names; standard English spellings used where available (such as ""Lifland"" instead of ""Lifliand""); the word ""province"" (translation of guberniia and oblast') is omitted"
all,cd_type,card type,data enhancement,The set contains 3 regional cards and 77 individual province cards.
border,area_type,area type,data enhancement,"This shapefile distinguishes between the area composed of provinces, and the areas over which the empire was in the process of establishing control."
border,area_name,area name,reverse,Names of areas of the Caucasus are given on GARE. The Kirgiz steppe is referenced on the reverse-side maps of several provinces.
cards[…],gender,gender,reverse,gender of the figures in the ethnographic depiction
cards[…],letter,capital letter,reverse,"The letter is important for playing the game of ""patience"" with this particular set of cards. Laying them out in the correct order reveals a phrase meant to express the foundation of Russian geography."
cards[…],cd_image,URL of card image,data enhancement,A mosaic of the observe/reverse of each card along with metadata; URL leads to the appropriate page of the Imperiia website.
cards[…],adm_rus,"province or region name, transliterated",reverse,"transcribed in an adapted version of the Library of Congress standard transliteration (""е"" as ""ye""; ""я"" as ""ya""; й as ""i"")"
cards_[…],region,statistical/administrative region,data enhancement,Added as a useful filter. Region names based on the scheme of the Military-Statistical Survey of the Russian Empire published 1848-1858.
econactivities,trd_lvl,note on trade activity,obverse,"Trade levels assessed on a scale of 3: 3 = extremely significant, extremely active, flourishing; 2 = ""generally"" or ""rather"" active; 1 = insignificant; 0 = no notation."
econactivities,econ_tl,total number of economic activities,data enhancement,number of different activities attested on each card
econactivities,bast,bast production,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,beekp,beekeeping,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,canvas,canvas production,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,cattle,cattle farming,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,chalk,chalk extraction,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,coal,coal mining,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,copper,copper smelting,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,cott_cl,cotton and cloth production,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,crafts,craft production,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,distill,distilling,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,factor,factories,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,farming,crop farming,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,fishing,fishing,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,flax,flax cultivation,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,forestry,forestry,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,fossils,harvesting walrus teeth and mammoth bones,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,glass,glass production,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,grdning,gardening and orchardry,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,hemp,hemp cultivation and production of hemp oil,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,hops,hops cultivation,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,horses,horse farming,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,hunting,hunting and trapping,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,iron,iron production,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
econactivities,leather,leather manufacturing,obverse,"""1"" indicates mention of this economic activity; ""0"" indicates absence of mention."
